fielder_2,n,actual,expected,strikes_added,framing_runs,catcher
643376,164,52,47.649602551613356,4.350397448386644,0.6090556427741303,643376
682626,205,69,65.06783420425337,3.932165795746627,0.5505032114045278,682626
623168,150,56,52.09301796544136,3.906982034558638,0.5469774848382094,623168
699024,260,80,76.51977395984754,3.480226040152459,0.48723164562134436,699024
663728,269,83,80.2170723493517,2.782927650648304,0.3896098710907626,663728
669257,212,76,73.55965868345322,2.440341316546778,0.34164778431654896,669257
680779,154,53,50.72561330273211,2.274386697267893,0.31841413761750503,680779
804668,192,59,57.43364064114658,1.5663593588534184,0.2192903102394786,804668
668939,193,70,68.9756298457289,1.0243701542710966,0.14341182159795354,668939
663886,187,60,59.13989465659146,0.8601053434085415,0.12041474807719582,663886
669224,284,95,94.27418123327448,0.7258187667255243,0.10161462734157341,669224
672275,222,84,83.29324530473592,0.7067546952640811,0.09894565733697136,672275
695670,178,55,55.053868838757474,-0.053868838757473725,-0.007541637426046322,695670
661388,235,75,75.06648474283622,-0.06648474283622363,-0.009307863997071309,661388
672515,259,74,74.31596924090782,-0.31596924090781897,-0.04423569372709466,672515
689414,158,53,53.47105728293524,-0.4710572829352415,-0.06594801961093381,689414
680777,293,95,95.5867599807577,-0.5867599807577051,-0.08214639730607871,680777
660688,158,46,46.732385657866025,-0.7323856578660255,-0.10253399210124357,660688
695600,290,100,101.27159828990001,-1.2715982899000124,-0.17802376058600175,695600
669221,166,50,51.54682826885914,-1.5468282688591373,-0.21655595764027924,669221
641680,224,65,66.7481194742128,-1.7481194742127997,-0.24473672638979196,641680
553869,164,50,51.84964771823398,-1.8496477182339817,-0.25895068055275744,553869
691019,257,93,95.06007667714708,-2.06007667714708,-0.28841073480059126,691019
696100,214,66,68.07033473813252,-2.070334738132516,-0.28984686333855225,696100
592663,257,83,85.30745964258742,-2.3074596425874176,-0.3230443499622385,592663
608348,223,67,69.54987227558306,-2.5498722755830556,-0.3569821185816278,608348
668800,216,72,75.05344266011727,-3.0534426601172697,-0.4274819724164178,668800
693307,252,62,65.06871865127133,-3.0687186512713254,-0.4296206111779856,693307
595978,167,44,47.83839809752236,-3.838398097522358,-0.5373757336531302,595978
672386,219,64,68.60658552483314,-4.606585524833136,-0.6449219734766392,672386
691788,276,94,99.03967967904848,-5.039679679048476,-0.7055551550667867,691788
694212,164,50,56.281777672335146,-6.281777672335146,-0.8794488741269205,694212
701852,161,41,48.58144457095434,-7.581444570954339,-1.0614022399336076,701852
673237,254,78,87.12436602960436,-9.12436602960436,-1.2774112441446106,673237
